ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"88.198.165.115","elite","AS24940","DE","Hetzner","19","Astrid Stolper + André Malo GbR","48139","socks5","2916","1","2026-02-04T17:24:11.728Z","93","10440","11193"
"162.214.162.180","elite","AS46606","US","Unified Layer","133","Oracle Corporation","43194","socks4","4297","1","2026-02-04T17:24:11.632Z","100","4724","4734"
"192.227.138.135","elite","AS36352","US","HostPapa","120","RackNerd LLC","3128","socks4","4579","1","2026-02-04T17:24:11.726Z","96","2069","2162"
"103.81.117.122","elite","AS135851","IN","Excogitate Technologies Pvt. Ltd","239","Excogitate Technologies Pvt Ltd","4153","socks4","306","1","2026-02-04T17:24:11.630Z","98","11260","11463"
"116.63.130.30","elite","AS134542","CN","China Unicom IP network","202","Huawei Cloud Service","30001","socks4","4892","1","2026-02-04T17:24:11.631Z","94","1738","1843"
"91.226.97.57","elite","AS64080","ES","SYN-UK","18","Amberway Development LTD","80","socks4","1590","1","2026-02-04T17:23:53.616Z","100","3893","3895"
"134.236.49.138","elite","AS131090","TH","CAT-BB","181","N/A","5678","socks4","2388","1","2026-02-04T17:23:53.542Z","59","1604","2728"
"150.230.249.42","elite","AS31898","KR","Oracle Corporation","256","Oracle Cloud Infrastructure (ap-chuncheon-1)","42311","socks4","2496","1","2026-02-04T17:23:53.543Z","37","470","1261"
"156.239.206.22","elite","AS200373","US","3xK Tech GmbH","90","3xK Tech GmbH","1338","socks4","1104","1","2026-02-04T17:23:53.613Z","100","852","852"
"103.30.0.5","elite","AS131778","ID","PT. Dian Nuswantoro Teknologi","173","N/A","4145","socks4","4894","1","2026-02-04T17:23:53.634Z","99","4599","4655"
"186.251.255.245","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","190","Seanet Telecom Carazinho Eireli","31337","socks4","4614","1","2026-02-04T17:23:53.622Z","93","10609","11439"
"134.119.213.231","elite","AS29066","FR","velia.net Internetdienste GmbH","0","Wouter Wim Prinsen","14570","socks4","2188","1","2026-02-04T17:23:53.619Z","100","2061","2062"
"45.56.112.189","elite","AS63949","US","Akamai Technologies, Inc.","103","Linode","7497","socks4","307","1","2026-02-04T17:23:53.632Z","94","10713","11401"
"181.3.77.142","elite","AS7303","AR","Telecom Argentina S.A.","315","Telecom Personal Bs","1080","socks4","2491","1","2026-02-04T17:23:53.626Z","40","726","1806"
"128.199.196.31","elite","AS14061","SG","DigitalOcean, LLC","266","DigitalOcean, LLC","56619","socks4","4218","1","2026-02-04T17:23:53.618Z","76","3601","4709"
"105.68.172.118","elite","AS36884","MA","Provider 36884 Wana Corporate","83","N/A","8888","socks4","2868","1","2026-02-04T17:23:53.622Z","33","280","852"
"23.95.137.158","elite","AS36352","US","HostPapa","94","RackNerd LLC","20737","socks4","5110","1","2026-02-04T17:23:53.818Z","100","4331","4334"
"104.129.205.1","elite","AS22616","US","ZSCALER, INC.","104","Zscaler, Inc.","11876","socks4","1899","1","2026-02-04T17:23:53.617Z","89","1466","1643"
"190.107.240.214","elite","AS264688","AR","RperezNet","235","RperezNet","1080","socks4","1994","1","2026-02-04T17:23:53.542Z","61","6861","11339"
"45.195.74.231","elite","AS3491","HK","PCCW Global, Inc.","181","Southern Telecom(Hong Kong) Co., Limited","9105","socks4","5004","1","2026-02-04T17:23:53.628Z","98","702","715"
"203.32.120.91","elite","AS209242","VG","Cloudflare London, LLC","4","Anaga Consulting Limited","80","socks4","310","1","2026-02-04T17:23:53.538Z","100","11","11"
"31.170.19.241","elite","AS42099","LV","DNET ITRisinajumi Ltd.","32","Sia Nano IT","4153","socks4","3394","1","2026-02-04T17:23:53.613Z","100","4702","4713"
"101.51.105.245","elite","AS23969","TH","TOT Public Company Limited","183","TOT Public Company Limited","4145","socks4","991","1","2026-02-04T17:23:53.614Z","45","5112","11438"
"117.7.201.8","elite","AS7552","VN","Viettel Group","200","VIETTEL","5657","socks4","4516","1","2026-02-04T17:23:53.630Z","70","2684","3814"
"104.129.192.34","elite","AS22616","US","ZSCALER, INC.","152","Zscaler, Inc.","8800","socks4","3196","1","2026-02-04T17:23:53.541Z","98","11176","11435"
"45.128.133.225","elite","AS206804","BE","EstNOC OY","14","ESTNOC-GLOBAL","1080","socks4","2899","1","2026-02-04T17:23:53.635Z","99","3477","3509"
"103.1.105.10","elite","AS4788","MY","TM TECHNOLOGY SERVICES SDN BHD","168","Streamyx","4153","socks4","4892","1","2026-02-04T17:23:50.116Z","100","1040","1040"
"134.119.190.185","elite","AS29066","FR","velia.net Internetdienste GmbH","0","Pockethost GmbH","777","socks4","2609","1","2026-02-04T17:23:50.131Z","91","10419","11405"
"45.167.124.49","elite","AS269804","CO","Sepcom Comunicaciones SAS","159","Sepcom Comunicaciones","999","socks4","4507","1","2026-02-04T17:23:50.111Z","98","4532","4603"
"185.255.132.78","elite","AS204997","RU","First Server Limited","43","Firstbyte Hosting","9300","socks4","3411","1","2026-02-04T17:23:50.150Z","100","1522","1523"
"94.20.21.7","elite","AS215148","AZ","Delta Telecom","83","N/A","4153","socks4","2698","1","2026-02-04T17:23:50.133Z","100","11337","11363"
"43.159.28.112","elite","AS132203","SG","Shenzhen Tencent Computer Systems Company Limited","156","Aceville Pte.ltd","19538","socks4","3997","1","2026-02-04T17:23:50.128Z","100","4620","4624"
"8.42.71.1","elite","AS399869","US","Visionary Communications LLC","122","Level 3, LLC","39593","socks4","4208","1","2026-02-04T17:23:50.123Z","100","4060","4070"
"171.6.119.82","elite","AS45758","TH","Triple T Broadband Public Company Limited","175","Triple T Broadband Public Company Limited","8080","socks4","2602","1","2026-02-04T17:23:50.112Z","89","1744","1959"
"107.180.103.214","elite","AS398101","US","GoDaddy.com, LLC","143","GoDaddy.com, LLC","45870","socks4","4102","1","2026-02-04T17:23:50.132Z","100","4345","4351"
"186.126.151.161","elite","AS7303","AR","Telecom Argentina S.A.","262","Telecom Personal Bs","1080","socks4","2802","1","2026-02-04T17:23:50.130Z","47","424","911"
"36.255.104.17","elite","AS136238","MV","SatLink Pvt Ltd","173","N/A","1080","socks4","4503","1","2026-02-04T17:23:50.132Z","99","11361","11456"
"103.95.97.53","elite","AS136759","BD","Cosmopolitan Communications Limited","186","Cosmopolitan Communications Limited","4153","socks4","4815","1","2026-02-04T17:23:50.212Z","98","4580","4673"
"93.190.137.117","elite","AS49981","NL","WorldStream B.V.","15","N/A","11435","socks4","1091","1","2026-02-04T17:23:50.211Z","70","2805","4024"
"92.205.61.38","elite","AS21499","FR","Host Europe GmbH","10","Go Daddy Netherlands B.V","48664","socks4","4011","1","2026-02-04T17:23:50.211Z","100","4736","4738"
"110.78.149.159","elite","AS131090","TH","CAT-BB","169","N/A","4145","socks4","1272","1","2026-02-04T17:23:50.123Z","69","7919","11412"
"178.252.197.64","elite","AS24689","RU","JSC Rosintel","50","JSC \"Rosintel\"","4153","socks4","4606","1","2026-02-04T17:23:50.125Z","99","11445","11535"
"179.99.202.210","elite","AS27699","BR","Vivo","218","TELEF�NICA BRASIL S.A","4153","socks4","3398","1","2026-02-04T17:23:50.114Z","100","11422","11473"
"68.183.44.44","elite","AS14061","GB","DigitalOcean, LLC","20","DigitalOcean, LLC","80","socks4","827","1","2026-02-04T17:23:50.125Z","100","11369","11374"
"45.144.30.232","elite","AS33993","RU","UFO Hosting LLC","60","UFO Hosting LLC","443","socks4","5004","1","2026-02-04T17:23:50.215Z","83","3925","4717"
"201.184.40.210","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","176","UNE EPM TELECOMUNICACIONES S.A","5678","socks4","4566","1","2026-02-04T17:23:50.134Z","46","5312","11438"
"181.215.47.60","elite","AS397423","US","Tier.Net Technologies LLC","123","Ipxo","3389","socks4","4808","1","2026-02-04T17:23:50.212Z","82","9308","11363"
"47.119.168.135","elite","AS37963","CN","Addresses CNNIC","250","Aliyun Computing Co., LTD","8888","socks4","1911","1","2026-02-04T17:23:50.126Z","95","1230","1299"
"115.76.198.47","elite","AS7552","VN","VIETELGPRS","200","GPRS Services","24546","socks4","4694","1","2026-02-04T17:23:50.115Z","69","2995","4357"
"31.128.248.1","elite","AS208139","UA","ISP Avator","34","\"Merlin-Telekom\" LLC","1080","socks5","3108","1","2026-02-04T17:23:50.215Z","99","11273","11400"
"200.81.144.13","elite","AS270934","BR","Silva de Sá Informática LTDA","215","Silva de Sá Informática LTDA","1080","socks4","3894","1","2026-02-04T17:23:50.135Z","99","11308","11411"
"45.142.193.18","elite","AS214295","GB","Skynet Network LTD","10","Limited Network LTD","4294","socks4","4481","1","2026-02-04T17:23:50.214Z","86","614","710"
"168.205.217.140","elite","AS264869","BR","SPEED MAX TELECOMUNICAÇÕES LTDA ME","213","SPEED MAX TELECOMUNICAÇÕES LTDA ME","4145","socks4","42","1","2026-02-04T17:23:50.149Z","89","10155","11466"
"111.53.178.249","elite","AS56042","CN","China Mobile communications corporation","231","China Mobile","7302","socks5","4384","2","2026-02-04T17:23:29.032Z","93","10544","11392"
"195.138.65.34","elite","AS6876","UA","TENET Scientific Production Enterprise LLC","41","Tenet","5678","socks4","3100","1","2026-02-04T17:23:29.040Z","96","4551","4739"
"38.127.172.28","elite","AS174","US","Cogent Communications","87","Torlandia Trading SRL","11537","socks4","4787","1","2026-02-04T17:23:29.044Z","100","11419","11445"
"185.226.113.180","elite","AS6876","UA","TENET Scientific Production Enterprise LLC","42","TeNeT Telecommunication Company","38030","socks4","4108","1","2026-02-04T17:23:29.037Z","97","3375","3492"
"77.232.142.253","elite","AS210644","RU","Aeza International LTD","8","Aeza International LTD","10800","socks4","3374","1","2026-02-04T17:23:29.033Z","88","2862","3243"
